,Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding
814551,BRKR,1253240,2019-04-01,38.76,39.01,38.47,38.87,38.2,761845,0.0,156814676
814552,BRKR,1253240,2019-04-02,38.94,39.01,38.39,38.53,37.86,666801,0.0,156814676
814553,BRKR,1253240,2019-04-03,38.74,39.24,38.63,39.01,38.33,2647355,0.0,156814676
814554,BRKR,1253240,2019-04-04,38.95,39.01,37.82,38.32,37.66,503730,0.0,156814676
814555,BRKR,1253240,2019-04-05,38.41,39.23,38.3,38.41,37.74,509516,0.0,156814676
814556,BRKR,1253240,2019-04-08,38.4,38.88,37.91,38.83,38.16,404390,0.0,156814676
814557,BRKR,1253240,2019-04-09,38.78,39.2,38.45,38.65,37.98,350617,0.0,156814676
814558,BRKR,1253240,2019-04-10,38.69,39.33,38.62,39.01,38.33,309849,0.0,156814676
814559,BRKR,1253240,2019-04-11,39.06,39.21,38.88,39.09,38.41,394717,0.0,156814676
814560,BRKR,1253240,2019-04-12,39.86,40.2,39.42,39.59,38.9,684556,0.0,156814676
814561,BRKR,1253240,2019-04-15,39.75,40.09,39.28,39.56,38.87,435106,0.0,156814676
814562,BRKR,1253240,2019-04-16,39.83,39.92,38.64,38.92,38.24,911499,0.0,156814676
814563,BRKR,1253240,2019-04-17,39.12,39.19,37.39,38.17,37.51,1075299,0.0,156814676
814564,BRKR,1253240,2019-04-18,38.31,38.67,37.59,38.17,37.51,633484,0.0,156814676
814565,BRKR,1253240,2019-04-22,38.04,38.65,37.77,37.9,37.24,615663,0.0,156814676
814566,BRKR,1253240,2019-04-23,37.49,38.13,37.0,37.81,37.15,1471147,0.0,156814676
814567,BRKR,1253240,2019-04-24,37.94,38.08,37.22,37.48,36.83,700586,0.0,156814676
814568,BRKR,1253240,2019-04-25,37.45,37.91,36.83,37.76,37.1,676275,0.0,156814676
814569,BRKR,1253240,2019-04-26,37.7,38.57,37.69,38.49,37.82,1055133,0.0,156814676
814570,BRKR,1253240,2019-04-29,38.59,38.77,38.05,38.25,37.59,539625,0.0,156814676
